[dispatch] WELCOME  -> no handler
[dispatch] bct 14 2 0 0 0 0 1 0 0  -> handled
[dispatch] bct 14 3 0 0 1 0 0 0 0  -> handled
[dispatch] bct 14 4 0 0 0 0 1 0 0  -> handled
[dispatch] bct 14 5 0 0 0 0 0 0 1  -> handled
[dispatch] bct 14 6 0 2 0 1 0 0 0  -> handled
[dispatch] bct 14 7 0 0 0 0 0 0 0  -> handled
[dispatch] bct 14 8 1 0 0 1 0 0 0  -> handled
[dispatch] bct 14 9 1 0 1 0 0 0 1  -> handled
[dispatch] bct 14 10 1 0 0 0 0 0 0  -> handled
[dispatch] bct 14 11 1 0 0 0 0 0 0  -> handled
